Date,Close/Last,Volume,Open,High,Low
08/04/2023,$349.99,2843922,$353.99,$355.11,$349.39
08/03/2023,$353.81,2943675,$350.29,$354.47,$349.415
08/02/2023,$351.19,3088573,$351.45,$352.889,$349.69
08/01/2023,$352.26,2296703,$352.03,$353.42,$351.25
07/31/2023,$351.96,2622162,$350.73,$352.33,$350.21
07/28/2023,$349.81,2473823,$349.93,$351.00,$348.32
07/27/2023,$349.31,2712061,$350.69,$351.27,$348.60
07/26/2023,$349.80,2684530,$347.56,$351.09,$347.52
07/25/2023,$347.58,3016291,$349.32,$349.66,$345.54
07/24/2023,$349.63,3270037,$346.77,$351.19,$346.28
07/21/2023,$345.76,3302140,$346.755,$347.62,$345.10
07/20/2023,$346.61,3147635,$343.09,$346.79,$342.85
07/19/2023,$342.43,3037697,$344.21,$345.38,$341.99
07/18/2023,$345.34,2569008,$344.05,$347.25,$343.54
07/17/2023,$344.25,2361019,$341.09,$345.72,$341.09
07/14/2023,$341.09,2675172,$344.99,$345.00,$340.51
07/13/2023,$343.54,2833854,$345.60,$346.205,$343.45
07/12/2023,$345.35,2899407,$345.29,$346.44,$344.31
07/11/2023,$343.37,2755374,$341.23,$343.84,$340.925
07/10/2023,$341.13,2966941,$340.48,$343.48,$339.865
07/07/2023,$340.90,2942066,$340.52,$344.07,$340.385
07/06/2023,$341.46,2550399,$339.75,$341.80,$338.91
07/05/2023,$341.56,2875644,$340.05,$341.89,$338.70
07/03/2023,$342.00,2047440,$340.75,$342.08,$338.41
06/30/2023,$341.00,4522066,$338.78,$342.50,$338.40
06/29/2023,$336.91,2499138,$334.26,$337.01,$334.14
06/28/2023,$334.15,3216531,$336.05,$336.40,$332.61
06/27/2023,$335.34,2626698,$334.39,$336.73,$334.37
06/26/2023,$334.12,3221884,$335.17,$335.825,$331.84
06/23/2023,$335.25,4453846,$335.10,$337.47,$334.19
06/22/2023,$336.96,3304552,$338.84,$338.85,$335.66
06/21/2023,$338.61,4507761,$337.30,$341.35,$336.37
06/20/2023,$338.67,3752659,$338.15,$339.28,$336.6212
06/16/2023,$338.31,8487204,$341.02,$341.30,$337.66
06/15/2023,$339.82,4116957,$335.97,$341.68,$335.54
06/14/2023,$335.90,5167308,$337.22,$340.38,$334.09
06/13/2023,$336.39,2953682,$333.22,$336.62,$332.20
06/12/2023,$333.60,2874530,$335.16,$335.345,$332.22
06/09/2023,$335.29,2619487,$335.76,$337.59,$334.915
06/08/2023,$335.95,2759715,$335.49,$336.32,$334.10
06/07/2023,$335.42,3730381,$334.01,$335.82,$331.43
06/06/2023,$333.41,3183994,$329.04,$334.16,$328.68
06/05/2023,$328.58,3092174,$330.89,$329.59,$327.57
06/02/2023,$329.48,3962988,$325.16,$330.67,$324.42
06/01/2023,$323.12,3377699,$321.42,$323.22,$319.53
05/31/2023,$321.08,6175417,$321.12,$322.41,$319.39
05/30/2023,$322.19,3232461,$321.86,$322.47,$319.00
05/26/2023,$320.60,3229873,$320.44,$322.63,$319.665
05/25/2023,$319.02,4251935,$320.56,$320.56,$317.71
05/24/2023,$320.20,3075393,$322.71,$323.00,$319.56
05/23/2023,$323.11,4031342,$328.19,$329.27,$322.97
05/22/2023,$329.13,2763422,$330.75,$331.49,$328.35
05/19/2023,$330.39,4323538,$331.00,$333.94,$329.12
05/18/2023,$329.76,2808329,$326.87,$329.98,$325.85
05/17/2023,$327.39,3047626,$325.02,$328.26,$324.82
05/16/2023,$323.75,2139996,$322.46,$324.69,$322.355
05/15/2023,$323.53,2191609,$322.89,$323.83,$320.13
05/12/2023,$322.49,1938264,$323.82,$324.2422,$320.54
05/11/2023,$322.64,2549339,$320.995,$322.96,$319.805
05/10/2023,$322.99,2641134,$326.08,$326.16,$320.1501
05/09/2023,$324.87,2285924,$324.87,$326.88,$323.48
05/08/2023,$326.14,3303393,$328.26,$330.69,$325.79
05/05/2023,$323.88,3876299,$323.36,$325.16,$322.62
05/04/2023,$320.00,3194768,$323.44,$325.99,$317.41
05/03/2023,$323.22,2660456,$327.13,$328.07,$323.06
05/02/2023,$325.86,3369713,$330.15,$330.25,$322.7601
05/01/2023,$330.17,2465391,$329.16,$331.84,$328.57
04/28/2023,$328.55,2912387,$325.44,$328.81,$325.19
04/27/2023,$326.23,2951130,$322.86,$326.91,$322.11
04/26/2023,$320.53,2721238,$323.31,$323.74,$319.00
04/25/2023,$324.34,2554381,$325.99,$327.10,$324.11
04/24/2023,$326.05,2262391,$324.43,$326.395,$324.30
04/21/2023,$324.33,2405869,$322.36,$324.85,$321.61
04/20/2023,$323.82,2429179,$322.20,$324.3693,$321.324
04/19/2023,$323.09,2410917,$323.85,$324.55,$322.76
04/18/2023,$324.63,3582623,$324.95,$325.7242,$322.495
04/17/2023,$323.79,3426342,$320.20,$323.98,$319.00
04/14/2023,$319.74,2976417,$318.89,$321.88,$318.12
04/13/2023,$318.05,3325989,$315.27,$318.81,$313.26
04/12/2023,$314.55,2663461,$315.97,$316.92,$313.72
04/11/2023,$313.70,3109850,$312.56,$315.94,$311.77
04/10/2023,$312.62,2331743,$311.41,$313.70,$310.335
04/06/2023,$312.51,3132148,$309.82,$313.22,$309.05
04/05/2023,$310.39,2314853,$307.85,$311.07,$307.85
04/04/2023,$309.07,2740754,$310.76,$311.00,$307.07
04/03/2023,$310.31,4863537,$309.25,$311.50,$308.24
03/31/2023,$308.77,5022204,$305.90,$308.81,$304.9877
03/30/2023,$305.08,2694985,$307.09,$307.47,$302.5772
03/29/2023,$305.30,2651414,$304.80,$305.38,$303.36
03/28/2023,$302.32,2437683,$301.93,$302.72,$300.5901
03/27/2023,$302.14,3835260,$300.88,$303.21,$298.97
03/24/2023,$298.92,3905988,$294.68,$299.50,$293.3947
03/23/2023,$298.37,4016197,$301.39,$302.0799,$296.30
03/22/2023,$299.73,3089313,$303.72,$307.05,$299.65
03/21/2023,$303.85,4725100,$304.56,$305.63,$302.25
03/20/2023,$301.06,6059923,$295.57,$301.51,$295.06
03/17/2023,$293.51,15611270,$301.30,$301.30,$292.42
03/16/2023,$302.01,6327578,$296.37,$304.43,$295.36
03/15/2023,$297.88,7165298,$300.02,$300.55,$294.90
03/14/2023,$305.33,5255174,$306.92,$307.55,$301.68
03/13/2023,$302.88,4993820,$301.75,$306.59,$300.76
03/10/2023,$303.63,5297790,$302.95,$306.72,$301.92
03/09/2023,$304.82,3934324,$311.00,$313.18,$303.9388
03/08/2023,$311.37,2706760,$310.72,$312.675,$309.2522
03/07/2023,$311.12,3610304,$316.39,$316.50,$310.23
03/06/2023,$316.97,4892345,$312.82,$317.29,$312.43
03/03/2023,$312.45,4493702,$309.56,$312.66,$308.50
03/02/2023,$307.75,3153781,$303.66,$308.10,$301.445
03/01/2023,$304.62,3400537,$304.02,$305.62,$302.08
02/28/2023,$305.18,4737739,$304.89,$306.15,$303.41
02/27/2023,$304.66,3652907,$304.37,$305.78,$302.01
02/24/2023,$304.02,3659339,$300.40,$305.62,$300.01
02/23/2023,$303.07,2739656,$305.01,$305.56,$300.25
02/22/2023,$303.16,2900326,$303.20,$305.275,$301.77
02/21/2023,$302.72,4131732,$306.17,$307.30,$300.50
02/17/2023,$308.24,2721407,$307.15,$308.41,$305.48
02/16/2023,$308.18,2803844,$307.58,$310.20,$306.87
02/15/2023,$309.63,2411819,$309.98,$310.37,$308.28
02/14/2023,$310.79,2908849,$313.78,$314.10,$309.04
02/13/2023,$313.74,3261952,$310.30,$313.74,$309.62
02/10/2023,$309.89,2811155,$307.08,$309.98,$305.28
02/09/2023,$307.21,3462603,$310.17,$311.42,$306.99
02/08/2023,$308.48,3370587,$311.12,$313.41,$308.01
02/07/2023,$312.97,3788007,$307.30,$314.15,$306.63
02/06/2023,$308.43,2980217,$308.25,$308.80,$305.60
02/03/2023,$308.51,5387548,$311.00,$311.55,$305.921
02/02/2023,$311.86,4430266,$312.35,$312.60,$308.30
02/01/2023,$310.57,3520304,$309.63,$312.67,$306.38
01/31/2023,$311.52,3655334,$307.74,$311.86,$305.79
01/30/2023,$307.33,3475781,$307.60,$309.5115,$306.81
01/27/2023,$309.17,3034223,$309.79,$311.73,$308.34
01/26/2023,$310.95,2858754,$312.99,$313.68,$309.58
01/25/2023,$311.90,2300785,$308.33,$312.55,$307.71
01/24/2023,$311.30,2234333,$309.30,$312.83,$307.50
01/23/2023,$310.42,3088133,$309.63,$312.73,$306.8501
01/20/2023,$309.87,3772210,$305.21,$310.01,$304.3626
01/19/2023,$305.23,3615144,$306.12,$307.235,$303.86
01/18/2023,$308.30,3408726,$315.00,$315.54,$307.75
01/17/2023,$314.86,3479442,$318.40,$318.52,$314.25
01/13/2023,$317.64,2773650,$317.49,$318.42,$315.79
01/12/2023,$318.93,3075151,$321.15,$321.32,$317.72
01/11/2023,$320.37,3001242,$318.52,$320.57,$316.60
01/10/2023,$316.35,3050322,$315.00,$316.80,$313.34
01/09/2023,$315.53,4399047,$319.02,$320.50,$314.75
01/06/2023,$318.69,3648810,$315.00,$320.16,$313.38
01/05/2023,$312.90,3418149,$313.574,$314.23,$310.00
01/04/2023,$314.55,5122121,$312.00,$316.89,$311.25
01/03/2023,$309.91,3551418,$310.07,$312.385,$307.38
12/30/2022,$308.90,3298865,$306.95,$309.04,$305.6212
12/29/2022,$309.06,2848063,$305.94,$309.38,$305.235
12/28/2022,$303.43,2628685,$304.77,$307.4607,$303.26
12/27/2022,$305.55,2731731,$306.45,$308.575,$304.65
12/23/2022,$306.49,2460858,$302.88,$306.57,$300.925
12/22/2022,$302.69,3560763,$306.10,$306.50,$297.6391
12/21/2022,$307.82,3265614,$304.38,$308.54,$304.16
12/20/2022,$302.00,3091869,$300.09,$304.19,$297.00
12/19/2022,$300.03,3842880,$300.51,$301.48,$297.15
12/16/2022,$300.00,8308365,$299.05,$302.47,$297.76
12/15/2022,$301.91,5107189,$306.43,$306.96,$299.445
12/14/2022,$309.29,4057911,$312.74,$316.3596,$308.40
12/13/2022,$312.33,5043156,$318.40,$318.91,$310.82
12/12/2022,$311.45,4367987,$307.55,$311.91,$305.46
12/09/2022,$306.39,3327110,$305.32,$308.34,$304.71
12/08/2022,$305.99,2353269,$306.00,$307.4899,$305.09
12/07/2022,$305.82,4132430,$307.07,$309.3842,$304.915
12/06/2022,$307.78,3877585,$309.95,$310.29,$306.35
12/05/2022,$310.57,3836532,$315.22,$315.66,$308.73
12/02/2022,$316.15,3026517,$313.49,$316.38,$312.75
12/01/2022,$315.84,4354849,$319.00,$319.56,$313.30
11/30/2022,$318.60,7924360,$315.13,$318.60,$308.70
11/29/2022,$315.13,3742168,$311.89,$315.29,$311.35
11/28/2022,$313.27,4232097,$316.25,$317.64,$312.33
11/25/2022,$317.43,1844916,$317.52,$319.12,$316.18
11/23/2022,$316.18,2685619,$315.385,$316.4292,$314.07
11/22/2022,$315.76,3172808,$313.00,$316.555,$312.05
11/21/2022,$311.20,2863030,$310.81,$312.90,$308.58
11/18/2022,$310.76,3397072,$310.55,$311.20,$308.615
11/17/2022,$307.44,3064676,$305.70,$307.62,$304.15
11/16/2022,$308.76,2971379,$310.93,$311.55,$306.74
11/15/2022,$309.98,4373585,$313.665,$313.89,$307.1838
11/14/2022,$308.91,4639814,$310.00,$311.84,$308.84
11/11/2022,$309.72,6572828,$305.56,$311.33,$302.60
11/10/2022,$303.20,5695773,$297.11,$303.50,$294.54
11/09/2022,$288.65,2760166,$291.98,$292.40,$288.06
11/08/2022,$292.61,3563780,$291.11,$294.743,$289.01
11/07/2022,$290.19,3524850,$290.92,$292.10,$288.65
11/04/2022,$287.47,3709955,$286.77,$289.20,$282.38
11/03/2022,$283.85,3126390,$286.02,$287.47,$283.46
11/02/2022,$289.46,4274735,$293.04,$298.26,$289.42
11/01/2022,$294.13,3838233,$298.45,$298.87,$293.04
10/31/2022,$295.09,4627809,$297.98,$298.89,$294.85
10/28/2022,$299.63,4629639,$292.77,$299.98,$291.48
10/27/2022,$289.88,4275741,$290.31,$294.00,$288.85
10/26/2022,$288.52,3295328,$289.75,$291.80,$287.68
10/25/2022,$289.24,3175402,$288.765,$289.87,$286.88
10/24/2022,$287.48,3862212,$284.10,$289.34,$283.99
10/21/2022,$282.51,4996771,$273.76,$282.92,$271.46
10/20/2022,$273.53,3918510,$278.07,$279.4399,$273.00
10/19/2022,$278.34,3215800,$280.33,$282.38,$276.9677
10/18/2022,$281.67,4294758,$282.74,$283.36,$279.25
10/17/2022,$277.02,4455948,$276.48,$278.59,$275.30
10/14/2022,$272.67,4292818,$277.59,$279.22,$271.97
10/13/2022,$275.78,5485173,$260.58,$276.78,$259.85
10/12/2022,$264.00,3345004,$267.31,$267.52,$263.96
10/11/2022,$267.31,3443003,$266.10,$270.97,$265.61
10/10/2022,$266.93,3108090,$269.89,$270.215,$265.86
10/07/2022,$269.04,4273211,$274.44,$274.495,$267.48
10/06/2022,$276.31,3396390,$278.20,$279.85,$275.90
10/05/2022,$279.36,3351571,$276.87,$280.88,$275.84
10/04/2022,$280.49,4636293,$277.42,$281.30,$276.60
10/03/2022,$272.80,4903523,$269.52,$274.57,$267.16
09/30/2022,$267.02,6059434,$269.21,$272.94,$266.60
09/29/2022,$269.58,5211637,$269.89,$272.17,$265.59
09/28/2022,$271.78,5942582,$265.65,$273.60,$264.91
09/27/2022,$265.47,5768879,$266.99,$267.93,$261.55
09/26/2022,$264.32,4929897,$265.82,$267.84,$263.3679
09/23/2022,$267.77,5176838,$266.01,$268.14,$264.24
09/22/2022,$268.51,4122179,$271.03,$271.50,$268.27
09/21/2022,$270.74,3956232,$278.90,$278.92,$270.72
09/20/2022,$277.13,3278187,$277.17,$278.04,$274.61
09/19/2022,$278.95,3292287,$272.79,$279.13,$272.72
09/16/2022,$274.81,7289900,$275.35,$276.375,$273.26
09/15/2022,$276.70,3279225,$278.69,$281.27,$276.36
09/14/2022,$278.42,3721356,$279.00,$280.205,$275.64
09/13/2022,$278.29,4586374,$283.99,$285.1438,$277.50
09/12/2022,$288.51,3410683,$286.70,$289.2406,$286.0333
09/09/2022,$285.77,3128967,$284.535,$287.02,$284.13
09/08/2022,$283.34,3543267,$278.58,$283.40,$277.29
09/07/2022,$281.04,3511375,$275.74,$281.74,$275.42
09/06/2022,$276.59,4363702,$278.01,$279.49,$275.355
09/02/2022,$277.67,3796304,$284.84,$285.42,$276.365
09/01/2022,$282.43,3767438,$279.95,$282.68,$277.31
08/31/2022,$280.80,5007109,$287.25,$288.01,$280.44
08/30/2022,$285.42,3227458,$288.72,$289.32,$284.7711
08/29/2022,$287.45,3101174,$288.40,$289.83,$285.75
08/26/2022,$289.96,5280739,$299.41,$299.63,$289.65
08/25/2022,$298.13,3465799,$293.71,$298.48,$292.8323
08/24/2022,$293.52,3266775,$290.00,$294.00,$289.4603
08/23/2022,$289.65,2596728,$288.85,$291.64,$288.15
08/22/2022,$288.69,4716455,$294.00,$294.47,$287.86
08/19/2022,$297.28,4617015,$302.95,$303.22,$296.81
08/18/2022,$304.27,2783620,$304.44,$304.57,$301.55
08/17/2022,$304.26,2963923,$305.22,$306.89,$302.74
08/16/2022,$306.65,3344335,$304.99,$308.15,$303.76
08/15/2022,$302.82,2929312,$298.64,$303.76,$297.40
08/12/2022,$301.55,3233809,$297.90,$301.69,$297.00
08/11/2022,$296.47,3146890,$298.00,$299.06,$296.12
08/10/2022,$295.11,3708840,$296.48,$296.93,$294.10
08/09/2022,$292.77,3873083,$293.35,$297.5708,$291.93
08/08/2022,$292.34,3969779,$294.87,$299.33,$292.27
